Album Name,Track Number,Track Name,Track Duration (ms),Explicit,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Album URI,Track URI
Speak Now (Taylor's Version),1,Mine (Taylor's Version),231706,False,85,0.00444,0.646,0.783,1.38e-06,7,0.171,-2.846,0.0356,121.08,4,0.49,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:7G0gBu6nLdhFDPRLc0HdDG
Speak Now (Taylor's Version),2,Sparks Fly (Taylor’s Version),261230,False,82,0.0251,0.588,0.758,0.0,5,0.131,-2.347,0.0305,114.991,4,0.387,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:3MytWN8L7shNYzGl4tAKRp
Speak Now (Taylor's Version),3,Back To December (Taylor's Version),294189,False,85,0.00621,0.497,0.635,0.0,2,0.117,-3.927,0.0273,142.063,4,0.203,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:79uDOz0zuuWS7HWxzMmTa2
Speak Now (Taylor's Version),4,Speak Now (Taylor's Version),242473,False,81,0.248,0.727,0.677,0.0,7,0.143,-2.871,0.0325,118.995,4,0.639,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:5xXqyjLicvEpch72qEryFT
Speak Now (Taylor's Version),5,Dear John (Taylor's Version),405906,False,81,0.0236,0.419,0.47,0.0,4,0.163,-5.016,0.0296,119.294,3,0.133,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:1zU8j1x3yi9xalMF96pzKp
Speak Now (Taylor's Version),6,Mean (Taylor's Version),238693,False,81,0.311,0.524,0.692,0.0,4,0.192,-3.866,0.0369,163.874,4,0.621,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j
Speak Now (Taylor's Version),7,The Story Of Us (Taylor's Version),267653,False,80,0.00192,0.515,0.781,0.0,4,0.054,-2.608,0.0535,139.846,4,0.57,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:6dTA6y0C2ReQklntzZl8l3
Speak Now (Taylor's Version),8,Never Grow Up (Taylor's Version),292920,False,76,0.851,0.685,0.323,0.0,2,0.198,-7.103,0.0289,125.058,4,0.569,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:2EFZ9emtKWEglWUQGEQ3P9
Speak Now (Taylor's Version),9,Enchanted (Taylor's Version),353253,False,88,0.012,0.505,0.532,0.0,8,0.149,-3.526,0.0265,81.907,4,0.216,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:3sW3oSbzsfecv9XoUdGs7h
Speak Now (Taylor's Version),10,Better Than Revenge (Taylor's Version),220306,False,83,0.000886,0.496,0.885,0.0,11,0.191,-2.969,0.0803,145.863,4,0.665,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:0NwGC0v03ysCYINtg6ns58
Speak Now (Taylor's Version),11,Innocent (Taylor's Version),301221,False,75,0.101,0.522,0.598,0.0,1,0.152,-5.327,0.0284,133.627,4,0.149,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:12nBPF4Rh4XLFJV0YLN7uj
Speak Now (Taylor's Version),12,Haunted (Taylor's Version),245413,False,79,0.00667,0.427,0.915,0.0,5,0.221,-1.909,0.0619,162.201,4,0.355,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:4tMzIAFTFdqGBQLdfbPces
